Vocabulary,Definitions
curmudgeon,"a bad-tempered person, especially an old one."
cursory,hasty and therefore not thorough or detailed
debacle,a sudden and ignominious failure; a fiasco
debunk,expose the falseness or hollowness of (an idea or belief)
deification,
demagogue,a political leader who seeks support by appealing to the desires and prejudices of ordinary people rather than by using rational argument
demure,"(of a woman or her behaviour) reserved, modest, and shy"
depredation ,an act of attacking or plundering
despotism,"the exercise of absolute power, especially in a cruel and oppressive way"
diatribe,a forceful and bitter verbal attack against someone or something
diction,the choice and use of words and phrases in speech or writing
dictum,a formal pronouncement from an authoritative source
diffidence ,modesty or shyness resulting from a lack of self-confidence
dilatory ,slow to act
dilettante,"a person who cultivates an area of interest, such as the arts, without real commitment or knowledge"
discourse ,written or spoken communication or debate
disingenuous,"not candid or sincere, typically by pretending that one knows less about something than one really does"
disinterested,not influenced by considerations of personal advantage
disputatious,fond of having heated arguments
dissemble,conceal or disguise one's true feelings or beliefs
draconian,(of laws or their application) excessively harsh and severe
dulcet,(especially of sound) sweet and soothing (often used ironically)
ebullient,cheerful and full of energy
edify,instruct or improve (someone) morally or intellectually
efficacy,the ability to produce a desired or intended result
effusive,"showing or expressing gratitude, pleasure, or approval in an unrestrained or heartfelt manner"
egalitarian,believing in or based on the principle that all people are equal and deserve equal rights and opportunities
egregious,outstandingly bad; shocking
elegy,"(in modern literature) a poem of serious reflection, typically a lament for the dead."
elicit,"evoke or draw out (a reaction, answer, or fact) from someone"
ennui,a feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement
epicurean,a disciple or student of the Greek philosopher Epicurus.
epigram,a pithy saying or remark expressing an idea in a clever and amusing way
epithet,an adjective or phrase expressing a quality or attribute regarded as characteristic of the person or thing mentioned
epitome,a person or thing that is a perfect example of a particular quality or type
equanimity,"calmness and composure, especially in a difficult situation"
espouse ,"adopt or support (a cause, belief, or way of life)"
ethereal,extremely delicate and light in a way that seems not to be of this world
ethos,"the characteristic spirit of a culture, era, or community as manifested in its attitudes and aspirations"
etymology,the study of the origin of words and the way in which their meanings have changed throughout history
excoriate,damage or remove part of the surface of (the skin)
exculpate,show or declare that (someone) is not guilty of wrongdoing
exegesis,"critical explanation or interpretation of a text, especially of scripture"
exigency,an urgent need or demand
exponent,a person who supports an idea or theory and tries to persuade people of its truth or benefits
expound,present and explain (a theory or idea) in detail
expurgate,remove matter thought to be objectionable or unsuitable from (a text or account)
extenuating,
facade ,"the principal front of a building, that faces on to a street or open space"
facetious,treating serious issues with deliberately inappropriate humour; flippant
fecile ,
fatuous,silly and pointless
feckless,lacking initiative or strength of character; irresponsible
fecund,producing or capable of producing an abundance of offspring or new growth; highly fertile
feign,"pretend to be affected by (a feeling, state, or injury)"
felicitous,well chosen or suited to the circumstances
feldgling ,
foible,a minor weakness or eccentricity in someone's character
foment,instigate or stir up (an undesirable or violent sentiment or course of action)
forensic,relating to or denoting the application of scientific methods and techniques to the investigation of crime
forte,a thing at which someone excels
fortuitous,happening by chance rather than intention
frenetic,fast and energetic in a rather wild and uncontrolled way
gaffe,an unintentional act or remark causing embarrassment to its originator; a blunder
galvanize,shock or excite (someone) into taking action
gambit,"an act or remark that is calculated to gain an advantage, especially at the outset of a situation"
gamut,the complete range or scope of something
garner,"gather or collect (something, especially information or approval)"
gentry,"people of good social position, specifically the class of people next below the nobility in position and birth"
germane,relevant to a subject under consideration
grandiloquent,"pompous or extravagant in language, style, or manner, especially in a way that is intended to impress"
grantutious,
guile,sly or cunning intelligence
hackneyed,(of a phrase or idea) having been overused; unoriginal and trite
hapless,(especially of a person) unfortunate
harangue,a lengthy and aggressive speech
harbinger,a person or thing that announces or signals the approach of another
hegemony,"leadership or dominance, especially by one state or social group over others"
hiatus,a pause or break in continuity in a sequence or activity
hoary,greyish white
holistic,characterized by the belief that the parts of something are intimately interconnected and explicable only by reference to the whole.
homage,special honour or respect shown publicly
hubris,excessive pride or self-confidence
husband,a married man considered in relation to his spouse
idiosyncrasy,a mode of behaviour or way of thought peculiar to an individual
idyllic,"like an idyll; extremely happy, peaceful, or picturesque"
ignominious,deserving or causing public disgrace or shame
imbue,inspire or permeate with (a feeling or quality)
imperious,arrogant and domineering
imperturbable,unable to be upset or excited; calm
spurious ,not being what it purports to be; false or fake
spurn,reject with disdain or contempt
squander,"waste (something, especially money or time) in a reckless and foolish manner"
static,"lacking in movement, action, or change, especially in an undesirable or uninteresting way"
stigma,"a mark of disgrace associated with a particular circumstance, quality, or person"
stratagem,"a plan or scheme, especially one used to outwit an opponent or achieve an end"
stringent,"(of regulations, requirements, or conditions) strict, precise, and exacting"
stymie,prevent or hinder the progress of
indignant,feeling or showing anger or annoyance at what is perceived as unfair treatment
intent,intention or purpose
intrinisic,
intent,intention or purpose
